Evaluation,Best,Average,Worst
9800,883.7909560107746,941.2215569122629,1398.2676510809458
9900,883.7909560107746,933.9379578467831,1308.5743076514893
10000,883.7909560107746,976.3546968997783,1408.4930334069816
10100,883.7909560107746,933.834962992336,1525.5334101731469
10200,883.7909560107746,957.5626696898137,1426.3040102552004
10300,883.7909560107746,952.8173670135827,1382.0001326453148
10400,883.7909560107746,948.0538789172199,1398.2676510809458
10500,883.7909560107746,944.4166934254949,1328.2692387391285
10600,883.7909560107746,937.8276791536839,1457.0869165670076
10700,883.7909560107746,930.4431390753539,1426.3040102552004
10800,883.7909560107746,938.932718277479,1424.8976685170812
10900,883.7909560107746,938.8600937763393,1517.4591932645194
11000,883.7909560107746,929.6840637967404,1292.2289985222
11100,883.7909560107746,934.0719586344358,1269.3484326083515
11200,883.7909560107746,948.9493527110654,1426.3040102552004
11300,883.7909560107746,944.2878146307686,1425.370073181591
11400,883.7909560107746,952.2477367455084,1359.1762220926564
11500,883.7909560107746,927.5792408738236,1408.4930334069816
11600,883.7909560107746,953.6892314564363,1426.3040102552004
11700,883.7909560107746,966.2384626565732,1424.8976685170812
11800,883.7909560107746,951.5154333612577,1371.2902062065814
11900,883.7909560107746,933.1273444547077,1340.2926978849405
12000,883.7909560107746,940.5187953286675,1282.7218789803135
12100,883.7909560107746,953.5055801928258,1525.5334101731469
12200,883.7909560107746,948.4976191202084,1425.370073181591
12300,883.7909560107746,944.5035637431108,1342.1602403905517
12400,883.7909560107746,944.6658097983594,1408.4930334069816
12500,883.7909560107746,959.0578814692096,1457.0869165670076
12600,883.7909560107746,946.0754667771649,1525.5334101731469
12700,883.7909560107746,945.962687929332,1457.0869165670076
12800,883.7909560107746,948.6944802439851,1525.5334101731469
12900,883.7909560107746,946.1709566028339,1400.0626328581159
13000,883.7909560107746,955.2671938407022,1349.456843417036
13100,883.7909560107746,931.4243168080534,1330.4951112182805
13200,883.7909560107746,944.4018391222548,1504.8001667304102
13300,883.7909560107746,924.3257836334792,1424.8976685170812
13400,883.7909560107746,983.8195962223077,1382.0001326453148
13500,883.7909560107746,953.2038533148288,1512.7680762871678
13600,883.7909560107746,942.6899186353788,1382.0001326453148
13700,883.7909560107746,945.9937770168959,1408.4930334069816
13800,883.7909560107746,938.7637316120606,1224.6285705850803
13900,883.7909560107746,952.7012196202342,1342.1602403905517
14000,883.7909560107746,934.5160696350742,1292.9940174830945
14100,883.7909560107746,944.8291341087596,1512.7680762871678
14200,883.7909560107746,935.7250738856012,1363.9952161854146
14300,883.7909560107746,951.5425331606248,1400.0626328581159
14400,883.7909560107746,941.2076758265872,1272.983286493844
14500,883.7909560107746,942.7941727412135,1424.8976685170812
14600,883.7909560107746,937.3992545728048,1363.9952161854146
14700,883.7909560107746,952.2483178674713,1517.4591932645194
14800,883.7909560107746,949.5034473433386,1398.2676510809458
