Iteration,Fitness
1,2052.2589493996434
2,1994.7483320484675
3,1994.7483320484675
4,1994.7483320484675
5,1994.7483320484675
6,1994.7483320484675
7,1994.7483320484675
8,1994.7483320484675
9,1994.7483320484675
10,1994.7483320484675
11,1972.7941827587156
12,1972.7941827587156
13,1972.7941827587156
14,1972.7941827587156
15,1972.7941827587156
16,1972.7941827587156
17,1972.7941827587156
18,1972.7941827587156
19,1972.7941827587156
20,1972.7941827587156
21,1972.7941827587156
22,1972.7941827587156
23,1972.7941827587156
24,1972.7941827587156
25,1972.7941827587156
26,1972.7941827587156
27,1972.7941827587156
28,1972.7941827587156
29,1972.7941827587156
30,1935.1816790157384
31,1935.1816790157384
32,1851.2785739743586
33,1851.2785739743586
34,1851.2785739743586
35,1851.2785739743586
36,1851.2785739743586
37,1851.2785739743586
38,1851.2785739743586
39,1851.2785739743586
40,1851.2785739743586
41,1851.2785739743586
42,1851.2785739743586
43,1851.2785739743586
44,1851.2785739743586
45,1851.2785739743586
46,1851.2785739743586
47,1851.2785739743586
48,1851.2785739743586
49,1851.2785739743586
50,1851.2785739743586
51,1851.2785739743586
52,1851.2785739743586
53,1851.2785739743586
54,1851.2785739743586
55,1851.2785739743586
56,1851.2785739743586
57,1851.2785739743586
58,1851.2785739743586
59,1851.2785739743586
60,1851.2785739743586
61,1851.2785739743586
62,1836.867610202389
63,1836.867610202389
64,1836.867610202389
65,1836.867610202389
66,1836.867610202389
67,1836.867610202389
68,1836.867610202389
69,1836.867610202389
70,1836.867610202389
71,1816.891969876264
72,1786.3076350552278
73,1786.3076350552278
74,1786.3076350552278
75,1786.3076350552278
76,1786.3076350552278
77,1786.3076350552278
78,1786.3076350552278
79,1786.3076350552278
80,1786.3076350552278
81,1786.3076350552278
82,1786.3076350552278
83,1786.3076350552278
84,1786.3076350552278
85,1786.3076350552278
86,1786.3076350552278
87,1786.3076350552278
88,1786.3076350552278
89,1786.3076350552278
90,1786.3076350552278
91,1786.3076350552278
92,1786.3076350552278
93,1786.3076350552278
94,1786.3076350552278
95,1786.3076350552278
96,1786.3076350552278
97,1786.3076350552278
98,1786.3076350552278
99,1786.3076350552278
100,1786.3076350552278
101,1786.3076350552278
102,1786.3076350552278
103,1786.3076350552278
104,1786.3076350552278
105,1786.3076350552278
106,1786.3076350552278
107,1786.3076350552278
108,1786.3076350552278
109,1786.3076350552278
110,1786.3076350552278
111,1786.3076350552278
112,1786.3076350552278
113,1786.3076350552278
114,1786.3076350552278
115,1786.3076350552278
116,1786.3076350552278
117,1786.3076350552278
118,1786.3076350552278
119,1786.3076350552278
120,1786.3076350552278
121,1786.3076350552278
122,1786.3076350552278
123,1786.3076350552278
124,1786.3076350552278
125,1786.3076350552278
