Instance,GA_best,GA_worst,GA_avg,GA_std,SA_best,SA_worst,SA_avg,SA_std,Random,Greedy
A-n32-k5.vrp,843.948963029599,982.8757786484576,903.7415917462002,43.98409044359074,832.7751301867447,903.5122783586683,859.0537262153106,22.12026749041727,1417.3583992357712,1146.3996317253793
A-n37-k6.vrp,991.4547990260633,1161.313269442935,1075.8954880071276,57.50424130772425,982.1992191891366,1032.8835601307574,1006.8764966752749,12.656196806975675,1591.8679156129224,1341.8779365605785
A-n45-k6.vrp,1007.9747161779428,1184.4038551008766,1114.1555157900198,62.1602772405919,996.3902690868231,1127.423094295845,1071.1006414516269,42.61907220170758,2027.9268245005558,1485.29903471766
A-n39-k5.vrp,909.3389478470446,1041.4555196236704,966.2858878277391,45.15690533382798,884.3955346830637,966.3059037741285,924.5760869690541,27.664448632952663,1506.4984793380447,1032.574615401068
A-n48-k7.vrp,1147.0563714808263,1404.578309931038,1262.9338407178648,80.10923383903008,1163.830900471143,1287.3475366716514,1216.8062360420677,45.27638907760989,2135.402013161356,1476.5729733586288
A-n54-k7.vrp,1293.7150986896138,1527.874843232221,1385.104492503746,61.49480449095099,1214.5279895381568,1390.36888641564,1324.8760946904004,46.180982174384546,2285.3966417748925,1433.642613592289
A-n60-k9.vrp,1495.4392648958958,1726.4068745522457,1629.3786586897945,80.86112586596867,1458.9258023575326,1571.0472086385562,1512.17890799053,38.01359568526822,2761.015087134049,1969.9807053701652
